# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-03-26 17:28:17 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02037500 JAMES RIVER NEAR RICHMOND, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02037500
#            TS   parameter     statistic     Description
#        145310       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	145310_00060_00003	145310_00060_00003_cd
USGS	02037500	2021-02-13	12200	A
USGS	02037500	2021-02-14	14700	A
USGS	02037500	2021-02-15	19100	A
USGS	02037500	2021-02-16	34000	A
USGS	02037500	2021-02-17	44700	A
USGS	02037500	2021-02-18	32800	A
USGS	02037500	2021-02-19	28300	A
USGS	02037500	2021-02-20	26500	A
USGS	02037500	2021-02-21	25700	A
USGS	02037500	2021-02-22	23700	A
USGS	02037500	2021-02-23	27200	A
USGS	02037500	2021-02-24	24400	A
USGS	02037500	2021-02-25	21100	A
USGS	02037500	2021-02-26	19200	A
USGS	02037500	2021-02-27	19500	A
USGS	02037500	2021-02-28	22700	A
USGS	02037500	2021-03-01	32400	A
USGS	02037500	2021-03-02	45000	A
USGS	02037500	2021-03-03	44400	A
USGS	02037500	2021-03-04	33700	A
USGS	02037500	2021-03-05	28000	A
USGS	02037500	2021-03-06	24100	A
USGS	02037500	2021-03-07	20700	A
USGS	02037500	2021-03-08	18200	A
USGS	02037500	2021-03-09	15000	A
USGS	02037500	2021-03-10	12800	A
USGS	02037500	2021-03-11	11300	A
USGS	02037500	2021-03-12	10400	A
USGS	02037500	2021-03-13	9910	A
USGS	02037500	2021-03-14	9450	A
USGS	02037500	2021-03-15	8880	A
USGS	02037500	2021-03-16	8640	A
USGS	02037500	2021-03-17	8460	A
USGS	02037500	2021-03-18	8750	A
USGS	02037500	2021-03-19	11100	A
USGS	02037500	2021-03-20	13700	A
USGS	02037500	2021-03-21	12400	A
USGS	02037500	2021-03-22	10900	A
USGS	02037500	2021-03-23	9960	A
USGS	02037500	2021-03-24	9920	A
USGS	02037500	2021-03-25	10600	A
USGS	02037500	2021-03-26	9750	A
USGS	02037500	2021-03-27	9260	A
USGS	02037500	2021-03-28	9370	A
USGS	02037500	2021-03-29	10400	A
USGS	02037500	2021-03-30	11500	A
USGS	02037500	2021-03-31	14700	A
USGS	02037500	2021-04-01	22900	A
USGS	02037500	2021-04-02	25000	A
USGS	02037500	2021-04-03	18800	A
USGS	02037500	2021-04-04	16300	A
USGS	02037500	2021-04-05	14400	A
USGS	02037500	2021-04-06	13300	A
USGS	02037500	2021-04-07	12200	A
USGS	02037500	2021-04-08	11000	A
USGS	02037500	2021-04-09	10100	A
USGS	02037500	2021-04-10	12100	A
USGS	02037500	2021-04-11	12800	A
USGS	02037500	2021-04-12	16300	A
USGS	02037500	2021-04-13	35400	A
USGS	02037500	2021-04-14	24300	A
USGS	02037500	2021-04-15	21100	A
USGS	02037500	2021-04-16	18600	A
USGS	02037500	2021-04-17	15800	A
USGS	02037500	2021-04-18	13700	A
USGS	02037500	2021-04-19	12200	A
USGS	02037500	2021-04-20	11900	A
USGS	02037500	2021-04-21	11000	A
USGS	02037500	2021-04-22	9790	A
USGS	02037500	2021-04-23	9020	A
USGS	02037500	2021-04-24	8580	A
USGS	02037500	2021-04-25	8860	A
USGS	02037500	2021-04-26	10100	A
USGS	02037500	2021-04-27	9300	A
USGS	02037500	2021-04-28	8600	A
USGS	02037500	2021-04-29	8120	A
USGS	02037500	2021-04-30	7620	A
USGS	02037500	2021-05-01	7170	A
USGS	02037500	2021-05-02	6720	A
USGS	02037500	2021-05-03	6540	A
USGS	02037500	2021-05-04	6550	A
USGS	02037500	2021-05-05	6870	A
USGS	02037500	2021-05-06	7050	A
USGS	02037500	2021-05-07	6880	A
USGS	02037500	2021-05-08	6600	A
USGS	02037500	2021-05-09	6410	A
USGS	02037500	2021-05-10	5930	A
USGS	02037500	2021-05-11	5800	A
USGS	02037500	2021-05-12	5780	A
USGS	02037500	2021-05-13	5310	A
USGS	02037500	2021-05-14	5100	A
USGS	02037500	2021-05-15	4950	A
USGS	02037500	2021-05-16	4990	A
USGS	02037500	2021-05-17	4690	A
USGS	02037500	2021-05-18	4410	A
USGS	02037500	2021-05-19	4480	A
USGS	02037500	2021-05-20	4240	A
USGS	02037500	2021-05-21	4240	A
USGS	02037500	2021-05-22	3990	A
USGS	02037500	2021-05-23	3680	A
USGS	02037500	2021-05-24	3650	A
USGS	02037500	2021-05-25	3580	A
USGS	02037500	2021-05-26	3620	A
USGS	02037500	2021-05-27	3350	A
USGS	02037500	2021-05-28	3410	A
USGS	02037500	2021-05-29	3810	A
USGS	02037500	2021-05-30	4550	A
USGS	02037500	2021-05-31	3960	A
USGS	02037500	2021-06-01	3640	A
USGS	02037500	2021-06-02	3470	A:e
USGS	02037500	2021-06-03	3460	A
USGS	02037500	2021-06-04	3470	A
USGS	02037500	2021-06-05	3480	A
USGS	02037500	2021-06-06	3320	A
USGS	02037500	2021-06-07	3070	A
USGS	02037500	2021-06-08	3080	A
USGS	02037500	2021-06-09	2730	A
USGS	02037500	2021-06-10	3080	A
USGS	02037500	2021-06-11	4250	A
USGS	02037500	2021-06-12	7820	A
USGS	02037500	2021-06-13	9950	A
USGS	02037500	2021-06-14	9870	A
USGS	02037500	2021-06-15	9500	A
USGS	02037500	2021-06-16	9270	A
USGS	02037500	2021-06-17	8890	A
USGS	02037500	2021-06-18	7170	A
USGS	02037500	2021-06-19	6600	A
USGS	02037500	2021-06-20	5920	A
USGS	02037500	2021-06-21	4610	A
USGS	02037500	2021-06-22	4010	A
USGS	02037500	2021-06-23	3550	A
USGS	02037500	2021-06-24	3670	A
USGS	02037500	2021-06-25	3360	A
USGS	02037500	2021-06-26	2890	A
USGS	02037500	2021-06-27	2750	A
USGS	02037500	2021-06-28	2640	A
USGS	02037500	2021-06-29	2440	A
USGS	02037500	2021-06-30	2500	A
USGS	02037500	2021-07-01	2230	A
USGS	02037500	2021-07-02	3550	A
USGS	02037500	2021-07-03	4560	A
USGS	02037500	2021-07-04	3910	A
USGS	02037500	2021-07-05	3100	A
USGS	02037500	2021-07-06	2580	A
USGS	02037500	2021-07-07	2340	A
USGS	02037500	2021-07-08	2240	A
USGS	02037500	2021-07-09	2500	A
USGS	02037500	2021-07-10	2180	A
USGS	02037500	2021-07-11	2330	A
USGS	02037500	2021-07-12	2170	A
USGS	02037500	2021-07-13	2000	A
USGS	02037500	2021-07-14	2030	A
USGS	02037500	2021-07-15	1890	A
USGS	02037500	2021-07-16	1800	A
USGS	02037500	2021-07-17	1840	A
USGS	02037500	2021-07-18	1850	A
USGS	02037500	2021-07-19	1570	A
USGS	02037500	2021-07-20	1530	A
USGS	02037500	2021-07-21	1580	A
USGS	02037500	2021-07-22	1570	A
USGS	02037500	2021-07-23	1500	A
USGS	02037500	2021-07-24	1420	A
USGS	02037500	2021-07-25	1400	A
USGS	02037500	2021-07-26	4470	A
USGS	02037500	2021-07-27	2340	A
USGS	02037500	2021-07-28	2040	A
USGS	02037500	2021-07-29	1950	A
USGS	02037500	2021-07-30	2260	A
USGS	02037500	2021-07-31	1940	A
USGS	02037500	2021-08-01	1870	A
USGS	02037500	2021-08-02	1940	A
USGS	02037500	2021-08-03	1740	A
USGS	02037500	2021-08-04	1580	A
USGS	02037500	2021-08-05	1490	A
USGS	02037500	2021-08-06	1330	A
USGS	02037500	2021-08-07	1950	A
USGS	02037500	2021-08-08	3600	A
USGS	02037500	2021-08-09	2390	A
USGS	02037500	2021-08-10	1770	A
USGS	02037500	2021-08-11	1800	A
USGS	02037500	2021-08-12	1920	A
USGS	02037500	2021-08-13	1740	A
USGS	02037500	2021-08-14	1900	A
USGS	02037500	2021-08-15	3030	A
USGS	02037500	2021-08-16	3830	A
USGS	02037500	2021-08-17	3670	A
USGS	02037500	2021-08-18	4390	A
USGS	02037500	2021-08-19	5010	A
USGS	02037500	2021-08-20	5940	A
USGS	02037500	2021-08-21	4640	A
USGS	02037500	2021-08-22	4720	A
USGS	02037500	2021-08-23	3830	A
USGS	02037500	2021-08-24	3420	A
USGS	02037500	2021-08-25	3060	A
USGS	02037500	2021-08-26	2570	A
USGS	02037500	2021-08-27	2150	A
USGS	02037500	2021-08-28	2080	A
USGS	02037500	2021-08-29	1960	A
USGS	02037500	2021-08-30	2060	A
USGS	02037500	2021-08-31	2650	A
USGS	02037500	2021-09-01	2480	A
USGS	02037500	2021-09-02	3340	A
USGS	02037500	2021-09-03	6610	A
USGS	02037500	2021-09-04	10500	A
USGS	02037500	2021-09-05	7440	A
USGS	02037500	2021-09-06	5060	A
USGS	02037500	2021-09-07	3840	A
USGS	02037500	2021-09-08	3270	A
USGS	02037500	2021-09-09	2710	A
USGS	02037500	2021-09-10	2440	A
USGS	02037500	2021-09-11	2200	A
USGS	02037500	2021-09-12	2040	A
USGS	02037500	2021-09-13	1950	A
USGS	02037500	2021-09-14	1840	A
USGS	02037500	2021-09-15	1790	A
USGS	02037500	2021-09-16	1780	A
USGS	02037500	2021-09-17	1880	A
USGS	02037500	2021-09-18	1770	A
USGS	02037500	2021-09-19	1790	A
USGS	02037500	2021-09-20	1770	A
USGS	02037500	2021-09-21	1780	A:e
USGS	02037500	2021-09-22	1770	A
USGS	02037500	2021-09-23	2210	A
USGS	02037500	2021-09-24	27100	A
USGS	02037500	2021-09-25	25700	A
USGS	02037500	2021-09-26	13600	A
USGS	02037500	2021-09-27	8490	A
USGS	02037500	2021-09-28	6220	A
USGS	02037500	2021-09-29	4840	A
USGS	02037500	2021-09-30	4050	A
USGS	02037500	2021-10-01	3540	A
USGS	02037500	2021-10-02	3160	A
USGS	02037500	2021-10-03	2800	A
USGS	02037500	2021-10-04	2590	A
USGS	02037500	2021-10-05	2410	A
USGS	02037500	2021-10-06	2390	A
